Id,Designator,Package,Quantity,Designation
1,CON1,"Through hole , PCB mounting",1,USB-MINI-B
2,"SW4,SW3,SW",Through hole,2,Tactile switch
3,C7,"Electrolyte 8x10.5 , SMD",1,"100uF,25v Capacitor"
5,IC1,DIP-40,1,IC Base
6,"J3,J2,J4,J5",2.54mm pitch ,4,8Pin Female Pin header
7,P6,Through hole,1,Box header R/A
8,"RV1,RV2",Through hole,2,10K Preset
10,U1,QFN-28,1,CP2102-GMR
11,U2,SOT-223,1,LM1117-5V
12,X1,"HC-49V,",1,16Mhz Crystal
13,"C10,C11,C1,C2,C3,C4,C5",C_1206,7,0.1uF  Capacitor
15,R1,R_1206,1,10K
16,R2,R_1206,1,470R
17,"R3,R5,R6",R_1206,3,470r
18,"R7,R8",R_1206,2,10k
19,R9,R_1206,1,2.2k
20,"C8,C9",C_1206,2,22pF
21,"D1,D2,D4",LED-1206,3,Green LED
,D3,LED-1207,1,RED LED
22,K1,Through hole,1,BARREL
23,LCD1,2.54mm pitch ,1,16 Pin Female Pin Header
24,SW2,Through hole,1,3 pin Slide switch
,,DIP-40,1,ATMEGA32-A
